"city","city_ascii","state_id","state_name","county_fips","county_name","lat","lng","population","density","source","military","incorporated","timezone","ranking","zips","id","logpop"
"Mount Vernon","Mount Vernon","WA","Washington",53057,"Skagit",48.4202,-122.3115,71422,1130,"polygon",FALSE,TRUE,"America/Los_Angeles",3,"98274 98273",1840019774,11.1763612241168
"Hartly","Hartly","DE","Delaware",10001,"Kent",39.1684,-75.7127,76,518,"polygon",FALSE,TRUE,"America/New_York",3,"19953",1840005808,4.33073334028633
"Marvin","Marvin","NC","North Carolina",37179,"Union",34.989,-80.8032,6792,438,"polygon",FALSE,TRUE,"America/New_York",3,"28173",1840017880,8.82350072799118
"Lost Springs","Lost Springs","WY","Wyoming",56009,"Converse",42.7652,-104.9255,4,17,"polygon",FALSE,TRUE,"America/Denver",3,"82229",1840021288,1.38629436111989
"Bloomington","Bloomington","IL","Illinois",17113,"McLean",40.4757,-88.9703,133846,1100,"polygon",FALSE,TRUE,"America/Chicago",2,"61701 61705 61704 61709 61710 61791",1840007207,11.8044451643032
"Davenport","Davenport","IA","Iowa",19163,"Scott",41.5563,-90.6052,285362,617,"polygon",FALSE,TRUE,"America/Chicago",2,"52802 52803 52801 52806 52807 52804 52805 52808 52809",1840007081,12.561513828699
"Steamboat","Steamboat","AZ","Arizona",4001,"Apache",35.7535,-109.8504,316,50,"polygon",FALSE,FALSE,"America/Denver",3,"86505",1840019006,5.75574221358691
"Port St. Lucie","Port St. Lucie","FL","Florida",12111,"St. Lucie",27.2796,-80.3883,461152,653,"polygon",FALSE,TRUE,"America/New_York",2,"34986 34984 34983 34987 34952 34953 34985",1840015119,13.0414829856381
"Harrisville","Harrisville","NY","New York",36049,"Lewis",44.1532,-75.3211,604,296,"polygon",FALSE,FALSE,"America/New_York",3,"13648",1840004133,6.40357419793482
"Benicia","Benicia","CA","California",6095,"Solano",38.0725,-122.1525,28240,849,"polygon",FALSE,TRUE,"America/Los_Angeles",3,"94510",1840018858,10.2484946916072
"Durham","Durham","NC","North Carolina",37063,"Durham",35.9794,-78.9031,424700,959,"polygon",FALSE,TRUE,"America/New_York",2,"27703 27705 27704 27707 27701 27709 27712 27713 27706 27708 27710 27715 27717 27722",1840013364,12.9591383163014
"Douglas","Douglas","AZ","Arizona",4003,"Cochise",31.3602,-109.5394,16467,626,"polygon",FALSE,TRUE,"America/Phoenix",3,"85608 85607 85655",1840019496,9.709113657218
"Salt Lake City","Salt Lake City","UT","Utah",49035,"Salt Lake",40.7777,-111.9306,1098526,699,"polygon",FALSE,TRUE,"America/Denver",1,"84116 84115 84113 84112 84111 84144 84128 84180 84108 84101 84102 84103 84104 84105 84106 84110 84114 84122 84132 84133 84134 84138 84139 84143 84145 84147 84148 84150 84151 84152 84158 84199",1840021383,13.9094798391658
"Albert Lea","Albert Lea","MN","Minnesota",27047,"Freeborn",43.6547,-93.3642,17656,513,"polygon",FALSE,TRUE,"America/Chicago",3,"56007",1840006824,9.77883094793657
"Kenmore","Kenmore","NY","New York",36029,"Erie",42.9646,-78.8713,15020,4039,"polygon",FALSE,TRUE,"America/New_York",2,"14217",1840004386,9.61713792531813
"State College","State College","PA","Pennsylvania",42027,"Centre",40.7909,-77.8568,87723,3572,"polygon",FALSE,TRUE,"America/New_York",2,"16802 16803 16801 16804 16805",1840000830,11.3819394016734
"Rockledge","Rockledge","FL","Florida",12009,"Brevard",28.3201,-80.732,28227,898,"polygon",FALSE,TRUE,"America/New_York",3,"32955 32956",1840015095,10.2480342456749
"Fort Greely","Fort Greely","AK","Alaska",2240,"Southeast Fairbanks",63.9678,-145.7148,144,5,"polygon",TRUE,TRUE,"America/Anchorage",3,"99737",1840037586,4.969813299576
